Route_Distance_km,Weight_kg,Transport_Mode,Fuel_Type,Fuel_Consumption_L,CO2_Emissions,Region,Delivery_Time_days,Cost_USD,High_Emission_Flag,Fuel_Efficiency,Cost_Efficiency
833.98,2585.1,1,0,347.71500000000003,1286.27,1,6.4,676.89,1,1.5423271356348218,0.00031396780348043064
805.69,2955.81,2,1,421.88,1817.94,2,3.9,817.72,1,2.256376493981848,0.0003433682479985238
416.94,1480.19,1,0,269.39,1333.59,3,8.2,761.55,1,3.1985176956272436,0.0012339779363922808
626.16,3846.33,3,3,406.12,750.83,1,6.6,1075.2,0,1.1991024466733353,0.00044643413361379196
226.04,3076.98,3,1,434.52,1058.46,2,3.4,858.95,0,4.682622337523344,0.001234974277360873
295.16,1854.84,2,3,507.27,2201.27,4,6.4,485.18,1,7.457886994921839,0.0008862146712892862
650.67,2005.74,3,0,8.0,1391.22,3,4.6,1039.35,1,2.1381345053846883,0.0007963911061015991
5.67,23.65,3,0,129.38,1100.82,3,3.8,871.82,0,194.14780573579236,6.501485396490905
261.21,1839.72,1,1,241.68,815.14,2,5.3,1007.93,0,3.1206307905275152,0.002097436603514253
298.69,1420.81,0,3,362.63,1216.12,4,0.4,967.27,1,4.0715121339344424,0.0022792451024975227
435.03,1216.22,0,2,214.57,857.02,4,4.0,867.73,0,1.970025010458474,0.001640035558944313
502.865,2257.27,1,2,359.41,456.13,4,3.5,979.07,0,0.9070625136555037,0.0008625391658537498
674.01,3668.84,1,3,208.73,1381.88,0,3.3,1139.59,1,2.0502366129547545,0.00046084355400148987
286.48,1516.2,3,3,304.92,1322.06,3,0.3,1139.18,1,4.6148420617550245,0.0026226573355286257
676.62,1314.8,1,3,304.71,434.66,2,6.0,958.27,0,0.6423989736868705,0.0010771678085488812
446.12,2157.83,1,3,396.32,1188.26,1,7.7,345.93,0,2.6635433815219365,0.0003593513713879511
639.64,1238.15,3,0,304.94,79.24,2,5.0,1148.48,0,0.12388218179159868,0.001450155453166342
27.41,2006.3,0,0,389.24,1309.01,1,5.6,489.68,1,47.75664073088627,0.008904457342278706
749.22,1490.15,3,1,185.35,799.6,3,5.2,661.22,0,1.0672432520855923,0.0005922521309614738
632.43,1982.18,1,3,343.87,1045.23,0,2.7,438.65,0,1.652720433048394,0.00034991501680356273
341.91,1776.89,1,1,283.19,1575.58,1,5.8,517.12,1,4.608171606324132,0.0008511752530483614
1044.03,2208.22,0,0,379.4,1582.37,1,4.7,1015.6,1,1.5156365093375046,0.0004405217694478005
509.62,3073.18,1,0,221.04,1597.77,4,5.0,1228.78,1,3.1352183365013473,0.0007845844065032323
559.22,1982.18,0,3,342.03,1158.48,2,4.2,759.02,0,2.071599691148391,0.0006847427372650449
666.78,1901.83,1,0,316.02,1610.86,4,4.7,894.08,1,2.4158792642868825,0.0007050535791007642
585.76,2371.5,2,3,376.48,689.17,3,9.9,571.92,0,1.1765398597285601,0.00041171097440098386
389.76,3162.09,1,2,209.14,930.58,4,1.9,637.9,0,2.387571777822974,0.0005175843172544054
474.42,2543.31,1,3,262.52,1143.33,2,2.2,766.46,0,2.4099531552220994,0.0006352244513183972
629.66,2058.3,0,0,389.25,768.67,4,3.9,803.66,0,1.2207699199445745,0.0006200940639577167
392.93,800.79,2,2,228.3,1689.08,1,3.5,536.87,1,4.298679044647162,0.0017062210949584297
502.865,4154.43,3,2,321.95,1195.2,1,7.5,747.38,0,2.376780997349567,0.0003577491552120744
147.85,2291.31,3,3,243.68,527.21,3,4.9,850.0,0,3.5658435193883316,0.002509075595712541
917.67,2173.3,1,1,269.92,1416.97,4,3.5,801.73,1,1.5440953551484156,0.00040199617482334645
598.66,2745.75,3,2,247.46,1041.98,0,7.3,1350.83,0,1.7405204667002898,0.0008217873722294229
603.87,1188.88,0,0,385.67,1302.71,1,2.5,769.17,1,2.1572689128907063,0.001071373404395882
409.96,2291.18,3,0,346.1,1238.14,2,3.2,980.12,1,3.0201482334825784,0.0010434666116051954
869.33,2345.81,2,2,347.71500000000003,1468.51,2,5.4,657.82,1,1.6892434209190592,0.0003225741584870677
